,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
274,DELL,Inspiron Intel Core,Core i5 11th Gen 1135G7,8,1000.0,4.2,11.0,DDR4,16.0,1.0,51999,medium,good
275,ASUS,ASUS TUF Gaming,5 Hexa Core 10th Gen,8,512.0,4.6,60.0,DDR4,16.0,1.0,52000,medium,excellent
276,DELL,Intel Core i5,Core i5 12th Gen 1235U,16,512.0,3.9,2.0,DDR4,16.0,1.0,52200,medium,average
277,DELL,Inspiron 15 3520,i5 12th Gen Core i5,16,512.0,4.2,15.0,DDR4,16.0,1.0,52200,medium,good
278,Acer,Aspire Lite Intel,Core i7 11th Gen 1165G7,16,512.0,3.9,60.0,DDR4,16.0,1.0,52499,medium,average
279,ASUS,TUF Gaming F15,Core i5 10th Gen 10300H,8,512.0,4.5,60.0,DDR4,16.0,1.0,52500,medium,good
280,ASUS,Intel Core i5,Intel Core i5 12th Gen,16,512.0,4.2,1.0,DDR4,16.0,1.0,52782,medium,good
281,Lenovo,ThinkPad E14 AMD,Ryzen 5 Hexa Core 7530U,16,512.0,4.7,1.0,DDR4,14.0,1.0,52990,medium,excellent
282,ASUS,TUF Gaming F15,Core i5 11th Gen 11260H,16,512.0,4.3,60.0,DDR4,16.0,1.0,52990,medium,good
283,Infinix,Y4 Max Series,Core i7 13th Gen 1355U,16,512.0,4.1,60.0,DDR4X,16.0,1.0,52990,medium,good
284,MSI,GF63 Intel Core,Core i5 11th Gen 11260H,8,512.0,4.2,60.0,DDR4,16.0,2.0,52990,medium,good
285,SAMSUNG,Galaxy Book 2,Core i5 12th Gen 1235U,16,512.0,4.3,60.0,DDR4,16.0,1.0,52990,medium,good
286,Infinix,INBook X2 Plus Intel,Core i5 11th Gen 1155G7,16,512.0,4.3,60.0,DDR4X,16.0,1.0,52990,medium,good
287,Infinix,ZERO BOOK Series,Core i5 12th Gen 12500H,16,512.0,4.2,23.0,DDR5,16.0,1.0,52990,medium,good
288,HP,15s Intel Core,Core i5 12th Gen 1235U,16,512.0,4.1,31.0,DDR4,16.0,1.0,53499,medium,good
289,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,16,512.0,4.3,36.0,DDR4,16.0,1.0,53990,medium,good
290,Lenovo,Ideapad Intel Core,Core i5 11th Gen 11320H,16,512.0,4.2,13.0,DDR4,16.0,2.0,54490,medium,good
291,HP,Victus Intel Core,Core i5 11th Gen 11400H,8,512.0,4.4,81.0,DDR4,16.0,1.0,54500,medium,good
292,ASUS,Vivobook 15X OLED,Ryzen 5 Hexa Core 7530U,16,1000.0,3.9,2.0,DDR4,16.0,1.0,54990,medium,average
293,ASUS,Vivobook 15 Intel Core,Core i5 12th Gen 12500H,16,512.0,3.9,7.0,DDR4,16.0,2.0,54990,medium,average
294,Lenovo,IdeaPad Slim 3,Core i5 12th Gen 12450H,16,512.0,4.2,13.0,DDR5,14.0,1.0,54990,medium,good
295,Acer,Aspire 5 Intel,Intel Core i5 13th Gen,8,512.0,4.2,13.0,DDR4,16.0,1.0,54990,medium,good
296,HP,Pavilion x360 Intel,Core i3 12th Gen 1215U,8,512.0,4.4,5.0,DDR4,14.0,1.0,55208,medium,good
297,HP,AMD Ryzen 7,Ryzen 7 Octa Core 5700U,16,512.0,4.2,13.0,DDR4,16.0,1.0,55400,medium,good
298,Acer,Aspire 7 Intel,Core i5 12th Gen 1240P,16,512.0,4.3,60.0,DDR4,16.0,1.0,55490,medium,good
299,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,8,512.0,4.4,74.0,DDR4,16.0,1.0,55490,medium,good
300,Acer,Aspire 7 (2023,Core i5 12th Gen 12450H,16,512.0,4.2,60.0,DDR4,16.0,1.0,55490,medium,good
301,ASUS,Intel Core i5,Intel Core i5 12th Gen,16,512.0,4.2,13.0,DDR4,16.0,1.0,55980,medium,good
302,HP,Intel Core i5,Core i5 13th Gen 1335U,8,512.0,4.2,33.0,DDR4,16.0,1.0,55990,medium,good
303,Lenovo,IdeaPad Gaming 3,Ryzen 5 Hexa Core 7535HS,16,512.0,4.1,12.0,DDR5,16.0,1.0,55990,medium,good
304,Acer,Aspire Vero Intel,Core i5 13th Gen 1335U,16,512.0,4.3,2.0,DDR4X,14.0,1.0,55990,medium,good
305,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,8,512.0,4.2,13.0,DDR4,16.0,1.0,55990,medium,good
