,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
426,MICROSOFT,Laptop Go 3 Intel,Core i5 12th Gen 1235U,8,256.0,3.9,1.0,DDR5,12.0,1.0,79990,medium,average
427,SAMSUNG,Galaxy Book4 Intel,Book4 Intel Core 5 120U,16,512.0,4.7,4.0,DDR4X,16.0,1.0,79990,medium,excellent
428,Lenovo,LOQ Intel Core,Core i5 12th Gen 12450H,16,512.0,4.5,68.0,DDR5,16.0,2.0,79990,medium,good
429,Acer,Nitro V Intel,Core i5 13th Gen 13420H,16,512.0,4.4,6.0,DDR5,16.0,1.0,79990,medium,good
430,ASUS,Zenbook 14 OLED (2023,Ryzen 5 Hexa Core 7530U,16,512.0,4.6,3.0,DDR4X,14.0,1.0,79990,medium,excellent
431,ASUS,Vivobook Pro 15,Core i5 12th Gen 12450H,16,512.0,4.4,23.0,DDR5,16.0,1.0,79999,medium,good
432,DELL,Intel Core i5,DELL Intel Core i5 13450HX,8,512.0,4.7,1.0,DDR5,16.0,1.0,81402,medium,excellent
433,HP,Victus Intel Core,Core i7 12th Gen 12650H,16,512.0,4.3,3.0,DDR4,16.0,1.0,81503,medium,good
434,HP,Victus AI Powered AMD,Ryzen 7 Octa Core 7840HS,16,512.0,4.4,19.0,DDR5,16.0,1.0,81990,medium,good
435,HP,Envy x360 (2023,Ryzen 5 Hexa Core 7530U,16,512.0,4.2,13.0,DDR4X,16.0,1.0,81990,medium,good
436,MSI,Katana 15 Intel Core,Core i5 12th Gen 12450H,8,512.0,4.3,10.0,DDR5,16.0,2.0,81990,medium,good
437,HP,Envy x360 Creator,Core i5 12th Gen 1230U,8,512.0,4.5,16.0,DDR4X,13.0,1.0,81990,medium,good
438,SAMSUNG,Galaxy Book3 Intel,Core i7 13th Gen 1355U,16,512.0,4.4,53.0,DDR4X,16.0,1.0,81990,medium,good
439,Lenovo,ThinkBook 15 Intel Core,Core i7 12th Gen 1255U,16,512.0,4.2,13.0,DDR4,16.0,1.0,82990,medium,good
440,HP,Envy x360 (2023,Ryzen 7 Octa Core 7730U,16,512.0,4.2,13.0,DDR5,16.0,1.0,82990,medium,good
441,ASUS,AMD Ryzen 7,7 Octa Core 6th Gen,16,1000.0,4.2,60.0,DDR4,17.0,1.0,83614,medium,good
442,DELL,Inspiron 5430 Intel,Core i7 13th Gen 1360P,16,1000.0,4.0,60.0,DDR5,14.0,1.0,83690,medium,average
443,ASUS,Vivobook S15 OLED,Core i7 12th Gen 12700H,16,512.0,4.2,8.0,DDR4,16.0,1.0,84990,medium,good
444,ASUS,TUF Gaming F17,Core i7 11th Gen 11800H,16,512.0,4.3,33.0,DDR4,17.0,1.0,84990,medium,good
445,Lenovo,IdeaPad Slim 5,Core i7 13th Gen 13620H,16,512.0,4.2,11.0,DDR5,14.0,1.0,86190,medium,good
446,DELL,Intel Core i7,Intel Core i7 12th Gen,16,512.0,4.3,60.0,DDR4,13.0,1.0,86500,medium,good
447,DELL,Inspiron Intel Core,Core i7 12th Gen 1255U,16,512.0,4.2,2.0,DDR4,14.0,1.0,86990,medium,good
448,MSI,GF63 Intel Core,Core i5 12th Gen 12450H,16,1000.0,4.5,22.0,DDR4,16.0,2.0,86990,medium,good
449,MSI,GF63 Intel Core,Core i5 12th Gen 12450H,16,1000.0,4.4,12.0,DDR4,16.0,2.0,86990,medium,good
450,MSI,Katana 15 Intel Core,Core i5 12th Gen 12450H,16,1000.0,4.5,1.0,DDR5,16.0,2.0,87990,medium,good
451,HP,Envy x360 Creator,Core i5 12th Gen 1230U,16,512.0,4.5,16.0,DDR4X,13.0,1.0,87990,medium,good
452,ASUS,Vivobook 14X OLED,Core i5 13th Gen 13500H,16,512.0,3.9,60.0,DDR4,14.0,1.0,88941,medium,average
453,HP,Intel Core i7,Core i7 12th Gen 1255U,16,512.0,4.2,13.0,DDR4,16.0,1.0,88990,medium,good
454,Colorful,Evol P-15,Core i7 13th Gen 13620H,16,512.0,4.2,13.0,DDR5,16.0,2.0,89540,medium,good
455,SAMSUNG,Galaxy Book4 Intel,Book4 Intel Core 7 150U,16,512.0,4.2,1.0,DDR4X,16.0,1.0,89990,medium,good
456,MSI,Bravo 15 AMD Ryzen,7th Gen Ryzen 7 7735HS,16,1000.0,4.2,13.0,DDR5,16.0,1.0,89990,medium,good
457,HP,OMEN Intel Core,Core i5 13th Gen 13420H,16,512.0,4.3,11.0,DDR5,16.0,1.0,90990,medium,good
458,HP,Intel Core i7,Intel Core i7 12th Gen,16,1000.0,4.700000000000001,1.0,DDR4,16.0,1.0,91200,medium,excellent
459,Acer,Nitro 5 AMD,Ryzen 5 Hexa Core 5600H,16,1000.0,4.5,48.0,DDR4,16.0,1.0,91499,medium,good
460,ASUS,TUF Dash F15,Core i7 12th Gen 12650H,16,1000.0,4.5,22.0,DDR5,16.0,1.0,91500,medium,good
461,HP,Pavilion x360 Intel,Intel Core i7 13th Gen,16,512.0,4.4,2.0,DDR4,14.0,1.0,92490,medium,good
462,Lenovo,Yoga Slim 6,Core i7 13th Gen 13700H,16,512.0,4.700000000000001,1.0,DDR5X,14.0,1.0,92690,medium,excellent
463,MSI,GF63 Intel Core,Core i7 12th Gen 12650H,16,512.0,4.4,12.0,DDR4,16.0,2.0,92990,medium,good
464,MSI,Prestige 13 Evo Intel,Core i7 13th Gen 1360P,16,1000.0,4.2,4.0,DDR5,13.0,2.0,92990,medium,good
465,ASUS,Vivobook Flip S,Core i5 12th Gen 12500H,8,512.0,4.4,8.0,DDR4,14.0,1.0,94000,medium,good
466,Lenovo,IdeaPad Slim 5,Core i7 12th Gen 1255U,16,512.0,4.2,3.0,DDR4,16.0,1.0,94000,medium,good
467,Acer,Nitro V Intel,Core i7 13th Gen 13620H,16,512.0,4.2,13.0,DDR5,16.0,1.0,94999,medium,good
468,ASUS,ROG Strix G15,Ryzen 7 Octa Core 6800HS,16,1000.0,4.4,57.0,DDR5,16.0,1.0,94999,medium,good
469,DELL,Intel Core i5,Core i5 11th Gen 11260H,16,512.0,4.1,34.0,DDR4,16.0,2.0,95999,medium,good
470,Lenovo,LOQ Intel Core,Core i7 13th Gen 13620H,16,512.0,4.2,24.0,DDR5,16.0,2.0,96990,medium,good
471,MSI,GF63 Intel Core,Core i7 12th Gen 12650H,16,1000.0,4.4,12.0,DDR4,16.0,2.0,96990,medium,good
472,Apple,2022 MacBook AIR,2022 MacBook AIR Apple M2,8,256.0,4.700000000000001,60.0,DDR4,14.0,1.0,96990,medium,excellent
473,Lenovo,IdeaPad Gaming 3,Core i7 12th Gen 12700H,16,512.0,4.6,2.0,DDR4,16.0,1.0,97790,medium,excellent
474,HP,Envy Intel Core,Core i5 11th Gen 1135G7,16,512.0,4.2,6.0,DDR4,13.0,1.0,99203,medium,good
475,MSI,GF63 Intel Core,Core i7 12th Gen 12650H,16,512.0,4.3,6.0,DDR4,16.0,2.0,99990,medium,good
476,MSI,Katana 15 Intel Core,Core i7 12th Gen 12650H,16,1000.0,4.6,5.0,DDR5,16.0,2.0,99990,medium,excellent
477,ASUS,TUF Gaming F15,Core i7 12th Gen 12700H,16,512.0,4.4,21.0,DDR4,16.0,1.0,99990,medium,good
478,ASUS,Zenbook 14 Flip OLED,Core i5 13th Gen 1340P,16,512.0,4.4,4.0,DDR5,14.0,1.0,99990,medium,good
479,MICROSOFT,Laptop Go 3 Intel,Core i5 12th Gen 1235U,16,256.0,4.2,13.0,DDR5,12.0,1.0,99990,medium,good
480,HP,Intel Core i7,Intel Core i7 12th Gen,16,512.0,4.2,13.0,DDR4X,13.0,1.0,101790,high,good
481,ASUS,Intel Core i7,Intel Core i7 12th Gen,16,512.0,4.2,13.0,DDR4,16.0,1.0,101899,high,good
482,ASUS,Vivobook S 15,Core i7 13th Gen 13700H,16,512.0,4.3,2.0,DDR5,16.0,1.0,105990,high,good
483,MSI,Prestige 13 AI Evo,Intel Core Ultra 7 155H,16,1000.0,4.2,13.0,DDR5,13.0,2.0,106990,high,good
484,Lenovo,Yoga Slim 7,Intel Core Ultra 7 155H,32,1000.0,4.2,13.0,DDR5X,14.0,1.0,107990,high,good
485,Apple,2022 MacBook AIR,2022 MacBook AIR Apple M2,8,512.0,4.6,5.0,DDR4,14.0,1.0,107990,high,excellent
486,Apple,2022 MacBook AIR,2022 MacBook AIR Apple M2,8,512.0,4.6,3.0,DDR4,14.0,1.0,107990,high,excellent
487,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,256.0,4.700000000000001,4.0,DDR4,13.0,1.0,107990,high,excellent
488,ASUS,Vivobook S 15,Core i9 13th Gen 13900H,16,1000.0,4.4,6.0,DDR5,16.0,1.0,109900,high,good
489,HP,Envy x360 Creator,Core i7 12th Gen 1250U,16,512.0,4.3,10.0,DDR4X,13.0,1.0,110700,high,good
490,DELL,Intel Core i7,Intel Core i7 12th Gen,16,512.0,4.2,13.0,DDR5,13.0,1.0,111990,high,good
491,HP,Intel Core i7,Core i7 13th Gen 1355U,16,512.0,4.2,13.0,DDR5,16.0,1.0,113990,high,good
492,MSI,Cyborg 15 AI Intel,Intel Core Ultra 7 155H,16,1000.0,4.2,13.0,DDR5,16.0,2.0,114990,high,good
493,Lenovo,Lenovo LOQ AI,Ryzen 7 Octa Core 7840HS,16,512.0,4.5,8.0,DDR5,16.0,2.0,116990,high,good
494,HP,OMEN Intel Core,Core i7 11th Gen 11800H,16,1000.0,4.1,2.0,DDR4,16.0,1.0,117900,high,good
495,ASUS,Zenbook S 13,Core i7 13th Gen 1335U,16,512.0,4.2,1.0,DDR5,13.0,1.0,119990,high,good
496,MSI,Prestige 16 AI Evo,Intel Core Ultra 7 155H,16,1000.0,4.2,13.0,DDR5,16.0,2.0,119990,high,good
497,Acer,Predator Neo (2023,Core i7 13th Gen 13700HX,16,1000.0,4.6,62.0,DDR5,16.0,1.0,119999,high,excellent
498,SAMSUNG,Galaxy Book4 360,Evo Intel Core 7 150U,16,512.0,4.2,2.0,DDR5,16.0,2.0,122990,high,good
499,HP,OMEN Intel Core,Core i7 12th Gen 12700H,16,1000.0,4.2,13.0,DDR5,16.0,2.0,122990,high,good
500,ASUS,TUF Gaming A17,Ryzen 7 Octa Core 6800HS,16,1000.0,4.2,2.0,DDR5,17.0,1.0,122999,high,good
501,ASUS,Zenbook S 13,Ryzen 7 Octa Core 6800U,16,1000.0,4.2,13.0,DDR5,13.0,1.0,123999,high,good
502,SAMSUNG,Galaxy Book3 Pro,Core i7 13th Gen 1360P,16,512.0,4.1,1.0,DDR5,14.0,1.0,124990,high,good
503,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,256.0,4.700000000000001,4.0,DDR4,15.0,1.0,126890,high,excellent
504,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,512.0,4.700000000000001,4.0,DDR4,13.0,1.0,126890,high,excellent
505,Lenovo,Lenovo Legion Slim,Ryzen 7 Octa Core 7840HS,16,512.0,4.2,60.0,DDR5,16.0,1.0,128990,high,good
506,HP,OMEN ARM Ryzen,ARM Ryzen 7 Octa Core,16,512.0,4.2,13.0,DDR5,16.0,1.0,129490,high,good
507,Lenovo,Yoga Slim 7,Core i7 13th Gen 1360P,16,1000.0,4.2,13.0,DDR5,13.0,1.0,129889,high,good
508,ASUS,ROG Flow X16,Ryzen 7 Octa Core 6800HS,16,1000.0,4.5,2.0,DDR5,16.0,1.0,129990,high,good
509,SAMSUNG,Galaxy Book3 360,Core i7 13th Gen 1360P,16,1000.0,4.7,5.0,DDR4X,16.0,1.0,133990,high,excellent
510,MSI,GP76 Intel Core,Core i7 11th Gen 11800H,16,1000.0,4.4,6.0,DDR4,17.0,2.0,135875,high,good
511,HP,ENVY Intel Core,Intel Core Ultra 7 155U,32,1000.0,4.2,13.0,DDR5,14.0,1.0,136342,high,good
512,SAMSUNG,Galaxy Book3 Pro,Core i7 13th Gen 1360P,16,1000.0,4.1,1.0,DDR5,14.0,1.0,140990,high,good
513,SAMSUNG,Galaxy Book4 Pro,Intel Core Ultra 5 125H,16,512.0,4.7,60.0,DDR5X,16.0,2.0,141990,high,excellent
514,HP,OMEN Intel Core,Core i7 14th Gen 14700HX,16,1000.0,4.2,13.0,DDR5,16.0,1.0,142490,high,good
515,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,512.0,4.700000000000001,4.0,DDR4,15.0,1.0,145490,high,excellent
516,SAMSUNG,Galaxy Book3 Pro,Core i5 13th Gen 1340P,16,512.0,4.2,13.0,DDR5,16.0,1.0,145990,high,good
517,MSI,Katana 17 Intel Core,Core i7 12th Gen 12650H,16,1000.0,4.700000000000001,1.0,DDR5,17.0,2.0,149990,high,excellent
518,SAMSUNG,Galaxy Book4 Pro,Intel Core Ultra 7 155H,16,512.0,4.7,1.0,DDR5X,16.0,2.0,149990,high,excellent
519,Acer,Predator Helios Neo,Core i7 14th Gen 14700HX,16,1000.0,4.2,13.0,DDR5,16.0,1.0,149999,high,good
520,HP,Intel Core i7,Core i7 13th Gen 1355U,32,1000.0,4.2,13.0,DDR4X,14.0,1.0,152990,high,good
521,HP,OMEN Intel Core,Core i7 13th Gen 13700HX,16,512.0,4.2,13.0,DDR5,16.0,1.0,153490,high,good
522,MSI,Summit E16Flip Intel,Core i7 13th Gen 1360P,32,1000.0,4.6,60.0,DDR5,16.0,2.0,159990,high,excellent
523,HP,Intel Core i7,Core i7 13th Gen 1355U,16,512.0,4.2,13.0,DDR4X,14.0,1.0,159999,high,good
524,MICROSOFT,Surface Pro 9,Core i7 12th Gen 1255U,16,256.0,4.2,13.0,DDR5,13.0,1.0,162990,high,good
525,Apple,MacBook Pro Intel,Intel Core i5 8th Gen,8,512.0,4.2,13.0,DDR3,13.0,1.0,162990,high,good
526,MSI,Pulse 17 Intel Core,Core i7 13th Gen 13700H,16,1000.0,4.3,2.0,DDR5,17.0,2.0,164990,high,good
527,HP,Spectre x360 Intel,Intel Core Ultra 7 155H,32,1000.0,4.2,13.0,DDR5X,14.0,1.0,168990,high,good
528,MSI,Pulse 17 Intel Core,Core i7 13th Gen 13700H,16,1000.0,4.700000000000001,60.0,DDR5,17.0,2.0,169990,high,excellent
529,MSI,Crosshair 16 HX Intel,Core i7 14th Gen 14700HX,32,1000.0,4.2,13.0,DDR5,16.0,2.0,172990,high,good
530,Apple,2023 MacBook Pro,2023 MacBook Pro Apple M3,8,1000.0,4.2,13.0,DDR4,14.0,1.0,178590,high,good
531,DELL,Alienware Intel Core,Core i7 12th Gen 12700H,16,1000.0,4.2,13.0,DDR5,16.0,1.0,179483,high,good
532,Acer,Predator Helios Neo,Core i9 14th Gen 14900HX,16,1000.0,4.2,13.0,DDR5,16.0,1.0,179999,high,good
533,MSI,Stealth 15 Intel Core,Core i7 13th Gen 13620H,16,1000.0,4.2,13.0,DDR5,16.0,1.0,186990,high,good
534,HP,Spectre Folio Intel,Core i7 10th Gen 10510Y,16,512.0,4.2,13.0,DDR3,13.0,1.0,188990,high,good
535,HP,15s Intel Core,Core i9 11th Gen 11900H,32,1000.0,4.2,13.0,DDR4,16.0,1.0,189400,high,good
536,MSI,Pulse 17 AI Intel,Intel Core Ultra 9 185H,32,1000.0,4.2,13.0,DDR5,17.0,2.0,189990,high,good
537,HP,Spectre x360 Intel,Intel Core Ultra 7 155H,32,1000.0,4.2,13.0,DDR5X,16.0,1.0,195990,high,good
538,ASUS,Zenbook Pro 14,Core i5 13th Gen 13500H,16,512.0,4.2,13.0,DDR5,14.0,1.0,199990,high,good
539,MSI,Stealth 16 AI Studio,Intel Core Ultra 7 155H,32,1000.0,4.2,13.0,DDR5,16.0,2.0,199990,high,good
540,DELL,Alienware Intel Core,Core i7 12th Gen 12700H,32,1000.0,4.2,13.0,DDR5,17.0,1.0,237890,high,good
541,Acer,Predator Helios 16,Core i9 14th Gen 14900HX,32,1000.0,4.2,13.0,DDR5,16.0,1.0,249999,high,good
542,MICROSOFT,Surface Pro 9,Core i7 12th Gen 1255U,32,1000.0,4.2,13.0,DDR5,13.0,1.0,261990,high,good
543,Apple,2023 MacBook Pro,MacBook Pro Apple M2 Max,32,1000.0,4.2,60.0,DDR4,14.0,1.0,282990,high,good
544,Apple,2021 Macbook Pro,Macbook Pro Apple M1 Max,32,1000.0,4.2,5.0,DDR4,16.0,1.0,299990,high,good
545,Lenovo,Legion Intel Core,Core i9 14th Gen 14900HX,32,1000.0,4.2,13.0,DDR5,16.0,2.0,374990,high,good
