,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price
757,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
758,Lenovo,IdeaPad Slim 5i,Core i5 13th Gen 13500H,16,512,,,DDR5,16,1,69000
759,Lenovo,IdeaPad 1 15IGL7,Dual Core 4th Gen N4020,8,256,4.36 ,1,DDR4,15.6,1,26490
760,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
761,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
762,Apple,MacBook Pro Intel,Intel Core i5 8th Gen,8,512,4.2109 ,13,DDR3,13.3,1,162990
763,HP,Pavilion Intel Core,Core i5 11th Gen 1155G7,16,512,4.4300 ,25,DDR4,14,0191,62754
764,LG,Gram Intel Core,Core i5 12th Gen 1240P,8,512,4.33 ,0,DDR5,14,,64762
765,Lenovo,IdeaPad Slim 5i,Core i5 11th Gen 1135G7,16,512,"4.41,261 ",140,DDR4,15.6,0191,56199
766,HP,Intel Core i5,Core i5 12th Gen 12450H,8,512,,,DDR4,15.6,1,72990
767,HP,Laptop Intel Core,Core i3 11th Gen 1115G4,8,512,"4.21,062 ",93,DDR4,15.6,1,39500
768,Lenovo,IdeaPad 1 15IGL7,Dual Core 4th Gen N4020,8,256,4.36 ,1,DDR4,15.6,1,26490
769,ASUS,AMD Ryzen 7,Octa Core 10th Gen 5800H,16,512,,,DDR4,15.6,1,74850
770,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
771,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
772,ASUS,Vivobook 14 AMD Ryzen,Core AMD Ryzen 3 3250U,8,256,4.267 ,6,DDR4,14.1,1,34300
773,ASUS,ExpertBook P2 Intel Core,Core i7 10th Gen 10510U,8,1,,,DDR4,14,3,70279
774,Lenovo,V15 Intel Core,Core i3 11th Gen 1115G4,4,256,4.3177 ,13,DDR4,15,0191,32990
775,HP,Laptop AMD Ryzen,Ryzen 3 Quad Core 5300U,8,512,4.574 ,10,DDR4,15.6,1,35055
776,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
777,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
778,ASUS,Vivobook 15 Intel Core,Core i3 12th Gen 1215U,8,512,4.3341 ,55,DDR4,15.6,1,35881
779,ASUS,Vivobook 16X For,Core i7 12th Gen 12650H,16,512,4.265 ,9,DDR4,16,1,78990
780,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
